"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Shedeur Sanders","CLE","242.0","147.1","1632.3","8.1","6.5","24.8","143.0","0.6","1.5","106.2"
"","high","351.0","221.2","2434.8","10.2","3.0","32.5","182.0","1.0","1.0","142.6"
"","low","107.0","64.0","664.0","4.0","8.5","10.0","65.0","0.0","2.1","36.0"
"Michael Penix Jr.","ATL","222.8","138.8","1564.8","8.5","4.0","15.8","53.5","0.6","1.5","98.6"
"","high","265.4","168.3","1882.5","9.4","3.0","19.4","76.6","1.0","1.0","113.2"
"","low","184.0","112.0","1257.0","8.0","5.1","13.0","38.0","0.0","1.9","87.0"
"Kirk Cousins","LV","114.2","74.2","781.8","5.0","3.9","5.2","9.0","0.1","0.9","47.1"
"","high","121.0","78.6","844.0","6.0","2.7","7.0","11.0","0.3","0.9","58.5"
"","low","103.0","69.0","669.0","4.1","5.0","3.0","7.0","0.0","1.0","38.0"
"Carson Beck","ARI","64.6","40.4","449.8","2.8","1.8","6.8","26.7","0.1","0.5","29.9"
"","high","66.2","40.8","450.6","3.0","1.5","7.0","29.4","0.3","0.5","32.4"
"","low","63.0","40.0","449.0","2.6","2.0","6.6","24.0","0.0","0.5","29.3"
"Ty Simpson","LAR","40.9","25.8","298.1","2.6","0.8","4.1","18.4","0.0","0.1","23.4"
"","high","60.0","38.0","450.0","4.0","0.6","7.0","32.0","0.1","0.0","34.0"
"","low","21.9","13.5","146.3","1.2","1.0","1.1","4.8","0.0","0.2","10.0"
"Marcus Mariota","WAS","34.3","21.6","253.9","2.0","0.8","1.4","7.9","0.0","0.1","18.0"
"","high","46.0","29.0","342.0","3.0","0.7","1.8","9.8","0.1","0.0","21.0"
"","low","22.6","14.3","165.9","1.0","1.0","1.0","6.0","0.0","0.2","10.2"
"Quinn Ewers","JAC","25.8","16.2","180.6","1.3","0.9","3.3","11.7","0.0","0.1","12.7"
"","high","32.0","21.0","226.0","2.0","0.6","5.0","19.0","0.0","0.0","18.2"
"","low","22.0","13.0","157.0","1.0","1.0","1.0","4.2","0.0","0.3","7.0"
"Riley Leonard","IND","27.3","17.2","192.7","1.3","0.5","2.7","11.5","0.0","0.6","12.4"
"","high","37.0","23.0","259.0","2.0","0.0","5.0","20.0","0.1","0.2","19.3"
"","low","22.0","14.0","158.2","0.8","1.0","1.2","5.4","0.0","1.0","7.0"
"J.J. McCarthy","MIN","27.7","16.9","196.0","1.0","0.9","3.1","14.4","0.0","0.1","12.3"
"","high","41.0","24.0","286.0","1.0","0.7","4.0","19.0","0.1","0.0","17.2"
"","low","19.0","12.0","137.0","1.0","1.0","1.4","6.1","0.0","0.2","7.0"
"Justin Fields","KC","26.2","16.3","175.2","1.0","0.8","3.6","18.4","0.1","0.1","12.1"
"","high","35.0","22.0","237.0","1.0","0.4","4.0","21.0","0.2","0.0","15.4"
"","low","20.6","12.8","140.5","0.9","1.0","2.8","15.3","0.0","0.2","7.0"
"Jameis Winston","NYG","26.1","15.5","194.3","1.3","1.3","2.6","10.9","0.0","0.6","11.7"
"","high","35.0","20.0","277.0","2.0","0.9","5.0","22.0","0.0","0.2","19.9"
"","low","21.0","13.0","143.0","0.9","2.0","0.7","2.7","0.0","1.0","5.0"
"Tommy DeVito","NE","20.8","13.8","153.6","1.0","0.2","3.4","15.3","0.0","0.1","11.5"
"","high","22.5","14.7","157.0","1.0","0.0","5.0","21.0","0.1","0.0","10.3"
"","low","19.0","13.0","150.1","1.0","0.4","1.9","9.5","0.0","0.1","9.0"
