"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"","high","60.9","769.0","6.0","3.0","78.0","1.0","0.0","164.0"
"","low","50.0","735.0","5.0","2.0","14.5","0.0","0.5","137.8"
"Xavier Worthy","KC","55.2","722.1","4.2","15.5","99.4","0.9","0.2","139.8"
"","high","57.0","788.4","4.6","22.0","146.0","1.0","0.0","167.2"
"","low","53.0","643.0","4.0","12.0","76.0","0.6","0.3","118.6"
"Wan'Dale Robinson","TEN","79.9","805.4","3.0","2.0","9.5","0.1","0.3","139.1"
"","high","84.0","823.3","4.0","4.1","22.5","0.2","0.0","176.1"
"","low","77.0","796.0","1.9","0.0","0.0","0.0","0.6","134.0"
"KC Concepcion","CLE","64.8","808.1","4.1","4.2","22.5","0.1","1.3","137.8"
"","high","71.0","878.0","5.0","6.4","34.9","0.2","0.7","138.4"
"","low","58.7","738.1","3.1","2.0","10.0","0.0","2.0","129.8"
"De'Zhaun Stribling","SF","55.4","821.1","4.9","1.5","6.5","0.0","1.3","137.1"
"","high","59.0","850.0","5.0","3.0","13.0","0.0","0.5","134.8"
"","low","51.8","792.1","4.7","0.0","0.0","0.0","2.0","131.7"
"Romeo Doubs","NE","57.1","745.1","5.5","0.0","0.0","0.0","0.3","135.3"
"","high","61.0","809.0","6.0","0.0","0.0","0.0","0.0","163.5"
"","low","52.4","667.4","5.0","0.0","0.0","0.0","0.5","126.8"
"Deebo Samuel Sr.","SF","56.1","631.8","4.3","29.1","111.6","1.1","0.4","134.1"
"","high","65.0","645.0","5.0","36.0","114.0","1.1","0.0","129.2"
"","low","47.2","618.6","3.7","22.1","109.3","1.0","0.7","123.1"
"Matthew Golden","GB","55.9","750.8","4.6","6.2","30.3","0.1","0.4","133.2"
"","high","66.8","876.4","5.0","14.0","66.0","0.2","0.0","155.2"
"","low","47.0","674.0","4.0","0.0","0.0","0.0","0.7","112.0"
"Stefon Diggs","WAS","67.0","746.5","4.1","0.3","0.7","0.0","0.2","132.6"
"","high","71.0","766.0","5.0","1.0","2.0","0.0","0.0","171.1"
"","low","62.0","725.6","3.4","0.0","0.0","0.0","0.5","124.5"
"Rashid Shaheed","SEA","49.9","754.2","3.8","13.4","88.9","0.3","0.8","131.7"
"","high","57.0","862.0","4.0","13.8","91.0","0.5","0.6","129.0"
"","low","42.8","646.4","3.5","13.0","86.7","0.0","1.0","126.6"
"Khalil Shakir","BUF","69.7","726.1","3.9","1.1","5.5","0.0","0.8","130.1"
"","high","72.0","766.0","4.0","2.3","12.5","0.1","0.6","171.5"
"","low","67.0","647.0","3.7","0.0","0.0","0.0","1.0","112.9"
"Josh Downs","IND","68.7","704.5","4.2","1.4","4.2","0.0","0.8","129.3"
"","high","70.1","711.0","6.0","2.1","10.7","0.1","0.6","163.1"
"","low","68.0","695.6","2.7","0.0","0.0","0.0","1.0","121.9"
"Jalen Coker","CAR","60.6","717.3","4.5","0.0","0.0","0.0","0.8","127.4"
"","high","61.2","747.0","6.0","0.0","0.0","0.0","0.6","130.3"
"","low","60.0","687.7","3.0","0.0","0.0","0.0","1.0","116.1"
"Denzel Boston","CLE","62.2","769.1","3.5","1.0","5.0","0.0","1.3","126.8"
"","high","69.0","845.0","4.0","2.0","10.0","0.0","0.6","126.1"
"","low","55.4","693.3","3.0","0.0","0.0","0.0","2.0","118.0"
"Jerry Jeudy","CLE","59.0","774.9","3.4","0.5","2.0","0.0","0.7","125.9"
"","high","66.0","829.0","4.0","1.0","4.0","0.0","0.5","124.5"
"","low","51.9","720.8","2.7","0.0","0.0","0.0","1.0","117.4"
"Calvin Ridley","TEN","46.7","762.3","3.2","4.5","27.5","0.6","0.2","124.8"
"","high","50.0","847.0","3.4","6.1","32.1","1.0","0.0","123.3"
"","low","43.3","677.5","3.0","3.0","23.0","0.3","0.4","115.3"
"Makai Lemon","PHI","52.7","738.0","4.4","1.5","6.5","0.0","1.3","124.4"
"","high","53.0","741.0","4.7","3.0","13.0","0.0","0.5","130.2"
"","low","52.5","735.0","4.0","0.0","0.0","0.0","2.0","112.4"
"Tre Tucker","LV","50.2","631.1","3.8","11.2","54.6","0.2","0.1","116.9"
"","high","52.0","658.2","5.0","12.0","57.3","0.3","0.0","114.7"
"","low","48.4","604.0","2.5","10.4","52.0","0.0","0.3","109.1"
"Rashod Bateman","BAL","38.8","598.2","6.0","0.0","0.0","0.0","0.2","114.8"
"","high","40.0","613.4","8.0","0.0","0.0","0.0","0.0","117.4"
"","low","37.7","583.0","4.0","0.0","0.0","0.0","0.3","104.1"
"Kayshon Boutte","HOU","45.1","624.7","4.8","0.0","0.0","0.0","0.2","113.4"
"","high","51.1","666.4","6.0","0.0","0.0","0.0","0.0","110.4"
"","low","39.0","583.0","3.6","0.0","0.0","0.0","0.4","108.5"
"Keenan Allen","IND","58.4","606.8","3.9","0.0","0.0","0.0","0.3","112.4"
"","high","62.0","675.0","5.0","0.0","0.0","0.0","0.0","117.2"
"","low","54.8","538.6","2.7","0.0","0.0","0.0","0.6","98.6"
"Ja'Kobi Lane","BAL","39.2","592.1","5.4","1.5","8.5","0.0","0.7","110.7"
"","high","44.0","654.0","7.0","3.0","17.0","0.0","0.4","116.6"
"","low","34.4","530.3","3.8","0.0","0.0","0.0","1.0","94.9"
"Jalen McMillan","TB","46.6","606.6","3.9","4.7","26.8","0.1","0.2","110.4"
"","high","47.3","625.0","4.0","5.0","29.0","0.2","0.0","108.9"
"","low","46.0","588.2","3.9","4.4","24.6","0.0","0.4","101.3"
"Jauan Jennings","MIN","48.9","557.2","5.2","0.0","0.0","0.0","0.7","109.8"
"","high","51.0","629.0","7.0","0.0","0.0","0.0","0.5","119.5"
"","low","46.8","485.4","3.4","0.0","0.0","0.0","1.0","92.7"
"Jalen Nailor","LV","43.7","587.2","4.0","2.0","9.0","0.0","0.2","105.3"
"","high","44.3","607.3","5.0","2.1","11.0","0.1","0.0","101.7"
"","low","43.0","567.0","3.0","2.0","7.0","0.0","0.4","100.8"
"Devaughn Vele","NO","47.3","567.2","3.7","0.0","0.0","0.0","0.2","102.0"
"","high","49.6","591.0","4.0","0.0","0.0","0.0","0.0","97.7"
"","low","45.0","543.5","3.4","0.0","0.0","0.0","0.4","97.6"
"Cooper Kupp","SEA","47.4","583.8","3.4","0.5","1.5","0.0","0.7","101.4"
"","high","57.0","696.0","4.0","1.0","3.0","0.0","0.3","106.7"
"","low","37.8","471.6","2.8","0.0","0.0","0.0","1.0","87.4"
"Jaylin Noel","HOU","45.3","514.5","3.6","5.1","17.6","0.1","0.3","97.2"
"","high","50.5","578.0","4.0","6.0","22.2","0.1","0.0","103.7"
"","low","40.0","451.0","3.2","4.2","13.0","0.0","0.6","82.6"
"Adonai Mitchell","NYJ","40.0","550.8","3.3","2.1","5.1","0.1","0.7","94.3"
"","high","41.9","621.6","3.6","2.2","11.2","0.1","0.5","105.7"
"","low","38.0","480.0","3.0","2.0","-1.0","0.0","1.0","75.0"
"Jordyn Tyson","NO","38.8","540.1","2.9","1.0","4.0","0.0","0.7","89.5"
"","high","42.0","596.0","3.0","2.0","8.0","0.0","0.4","85.4"
"","low","35.6","484.2","2.7","0.0","0.0","0.0","1.0","83.6"
"Malik Washington","MIA","45.2","410.5","2.3","13.5","80.9","0.7","0.8","88.5"
"","high","46.0","472.0","3.0","14.0","84.0","1.0","0.6","92.2"
"","low","44.3","349.0","1.7","12.9","77.8","0.4","1.0","74.6"
"Germie Bernard","PIT","41.2","507.6","2.9","2.1","10.8","0.0","0.7","88.5"
"","high","42.0","511.0","3.0","2.1","11.7","0.1","0.4","88.9"
"","low","40.4","504.1","2.8","2.0","10.0","0.0","1.0","80.6"
"Chris Bell","MIA","40.6","515.8","2.8","1.0","5.5","0.0","0.7","88.0"
"","high","47.0","582.0","4.0","2.0","11.0","0.0","0.4","92.3"
"","low","34.2","449.7","1.6","0.0","0.0","0.0","1.0","74.6"
"Antonio Williams","WAS","35.5","496.0","3.1","3.5","18.7","0.1","1.2","86.3"
"","high","45.0","648.0","4.0","4.1","22.3","0.2","0.3","93.7"
"","low","25.9","344.1","2.3","3.0","15.0","0.0","2.0","69.5"
"Caleb Douglas","MIA","39.2","507.2","2.5","1.0","5.5","0.0","0.7","84.7"
"","high","43.5","581.4","3.0","2.0","11.0","0.0","0.4","89.6"
"","low","35.0","433.0","2.1","0.0","0.0","0.0","1.0","70.6"
"Omar Cooper Jr.","NYJ","38.4","457.7","3.1","2.1","12.5","0.1","0.7","83.9"
"","high","44.0","520.0","4.0","2.2","13.0","0.1","0.4","85.2"
"","low","32.9","395.4","2.2","2.0","12.0","0.0","1.0","73.9"
"Travis Hunter","JAC","38.1","451.6","3.1","2.0","10.8","0.1","0.4","83.2"
"","high","38.1","451.6","3.1","2.0","10.8","0.1","0.4","84.5"
"","low","38.1","451.6","3.1","2.0","10.8","0.1","0.4","84.5"
