"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Chris Rodriguez Jr.","JAC","135.5","560.9","5.1","5.4","42.8","0.1","0.6","92.9"
"","high","177.0","694.0","8.0","10.0","76.0","0.2","0.3","110.7"
"","low","100.5","432.7","3.4","2.0","23.0","0.0","1.0","70.1"
"Dylan Sampson","CLE","74.2","257.0","1.4","37.9","291.4","2.1","1.2","92.0"
"","high","105.0","290.0","2.0","44.0","350.0","3.0","0.4","113.1"
"","low","56.6","236.1","1.0","29.8","208.1","1.2","2.0","77.3"
"Mike Washington Jr.","LV","126.0","487.1","3.1","17.7","143.0","0.6","1.2","92.0"
"","high","164.0","612.0","4.0","27.0","226.0","1.0","0.4","102.8"
"","low","88.0","362.2","2.2","8.4","60.0","0.3","2.0","65.6"
"AJ Dillon","CAR","121.0","531.0","3.0","18.0","146.0","1.0","5.0","90.7"
"","high","121.0","531.0","3.0","18.0","146.0","1.0","5.0","75.0"
"","low","121.0","531.0","3.0","18.0","146.0","1.0","5.0","75.0"
"Braelon Allen","NYJ","111.8","449.4","4.5","13.9","100.7","0.7","1.7","89.7"
"","high","141.0","550.0","6.0","15.0","111.0","1.0","0.4","93.9"
"","low","82.7","348.8","2.9","12.7","90.4","0.4","3.0","71.1"
"Samaje Perine","CIN","98.4","441.8","3.7","17.9","135.2","0.4","1.9","87.1"
"","high","100.9","444.0","4.0","18.8","139.4","0.7","0.8","90.5"
"","low","96.0","439.6","3.3","17.0","131.0","0.0","3.0","67.9"
"Tyler Allgeier","ARI","111.7","421.6","4.2","17.0","110.8","0.2","0.6","86.6"
"","high","126.0","459.0","5.0","18.1","125.7","0.4","0.2","81.6"
"","low","97.3","384.1","3.3","16.0","96.0","0.0","1.0","78.5"
"Kaelon Black","SF","113.6","452.1","3.6","10.6","94.2","0.7","1.2","83.2"
"","high","152.0","593.0","5.0","13.0","126.0","1.0","0.3","92.3"
"","low","75.2","311.1","2.2","8.1","62.5","0.4","2.0","57.5"
"Ty Johnson","BUF","51.9","222.5","2.1","22.8","244.1","2.2","0.2","83.0"
"","high","53.0","225.0","2.1","24.0","280.0","3.0","0.0","75.4"
"","low","50.8","219.9","2.0","21.6","208.2","1.3","0.4","74.7"
"Malik Davis","DAL","104.2","479.4","3.5","10.7","82.3","0.2","0.7","82.5"
"","high","115.0","553.0","4.0","12.4","89.5","0.5","0.3","77.3"
"","low","93.5","405.9","3.0","9.0","75.0","0.0","1.0","75.1"
"Brian Robinson Jr.","ATL","120.2","517.1","3.9","7.3","46.7","0.1","0.7","82.5"
"","high","134.6","560.4","4.0","9.0","59.1","0.3","0.5","88.8"
"","low","107.0","462.0","3.7","4.0","23.0","0.0","1.0","72.6"
"Tank Bigsby","PHI","104.6","510.7","4.2","3.8","31.8","0.1","0.7","80.2"
"","high","126.0","649.0","5.0","4.0","35.0","0.1","0.4","86.9"
"","low","83.2","372.4","3.4","3.6","28.6","0.0","1.0","62.4"
"Keaton Mitchell","LAC","95.6","432.3","2.2","15.5","114.5","0.4","0.7","76.6"
"","high","108.0","472.0","2.4","20.0","156.9","0.8","0.5","81.6"
"","low","83.3","392.6","2.0","11.0","72.0","0.0","1.0","58.8"
"Tyrone Tracy Jr.","NYG","82.9","352.0","1.5","19.6","147.3","0.8","0.6","72.3"
"","high","123.0","524.0","2.0","28.0","215.0","1.0","0.2","101.3"
"","low","35.8","151.9","0.5","11.9","86.8","0.4","1.0","38.8"
"Najee Harris","NYG","93.6","392.3","2.6","11.1","75.5","0.2","0.2","69.0"
"","high","107.2","431.7","3.0","12.1","76.1","0.4","0.0","71.9"
"","low","80.0","353.0","2.3","10.0","75.0","0.0","0.3","53.5"
"Jordan James","SF","80.7","322.0","2.5","14.0","131.5","0.6","1.1","68.7"
"","high","126.0","493.0","4.0","24.0","232.0","1.0","0.2","89.0"
"","low","35.4","151.0","1.0","4.1","31.0","0.2","2.0","32.1"
"Chris Brooks","GB","80.9","360.0","1.7","14.3","100.8","0.3","0.6","63.9"
"","high","118.0","527.0","2.0","15.5","110.6","0.6","0.2","67.1"
"","low","43.8","193.0","1.4","13.0","91.0","0.0","1.0","49.0"
"Kimani Vidal","LAC","60.2","234.2","1.6","11.9","104.0","0.7","0.1","53.0"
"","high","87.0","332.0","2.0","16.0","145.0","1.0","0.0","54.0"
"","low","33.3","136.4","1.1","7.8","63.0","0.4","0.2","34.5"
"Brashard Smith","KC","46.1","176.9","1.1","18.7","131.7","1.0","0.1","52.5"
"","high","51.0","179.0","1.2","21.0","142.0","1.0","0.0","52.6"
"","low","41.3","174.8","1.0","16.4","121.4","1.0","0.3","37.3"
"Jaylen Wright","MIA","82.1","318.2","1.6","7.2","52.6","0.1","1.3","48.3"
"","high","104.0","384.0","2.0","7.5","56.2","0.2","0.5","42.6"
"","low","60.2","252.4","1.2","7.0","49.0","0.0","2.0","41.9"
"Emanuel Wilson","SEA","70.2","290.0","1.7","7.7","52.1","0.0","0.5","47.4"
"","high","129.0","532.0","3.0","14.0","94.0","0.1","0.1","69.8"
"","low","11.4","48.0","0.4","1.4","10.3","0.0","1.0","12.4"
"Jonah Coleman","DEN","48.7","203.0","1.6","10.2","74.8","0.4","0.2","44.2"
"","high","65.5","272.1","2.1","17.4","126.5","0.8","0.0","62.1"
"","low","32.0","134.0","1.0","3.0","23.0","0.0","0.3","17.1"
"Kyle Juszczyk","SF","4.2","10.3","0.1","23.7","207.3","1.5","0.1","42.7"
"","high","4.4","18.6","0.2","27.0","254.0","2.0","0.0","39.8"
"","low","4.0","2.0","0.0","20.4","160.6","0.9","0.1","36.1"
"James Conner","ARI","32.5","113.0","1.0","14.0","106.0","1.0","0.0","40.9"
"","high","65.0","226.0","2.0","28.0","212.0","2.0","0.0","57.0"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0"
"Isaiah Davis","NYJ","35.1","174.9","1.2","9.9","78.6","0.2","0.1","38.5"
"","high","39.2","178.8","1.3","12.9","96.3","0.4","0.0","43.2"
"","low","31.0","171.0","1.0","7.0","61.0","0.0","0.1","23.0"
"George Holani","SEA","38.9","164.2","1.5","8.0","62.2","0.3","0.2","37.1"
"","high","38.9","164.2","1.5","8.0","62.2","0.3","0.2","37.5"
"","low","38.9","164.2","1.5","8.0","62.2","0.3","0.2","37.5"
"LeQuint Allen Jr.","JAC","32.0","126.0","0.6","15.3","99.2","0.4","0.1","36.2"
"","high","56.0","218.0","1.0","21.7","148.4","0.9","0.0","32.5"
"","low","8.0","34.0","0.2","9.0","50.0","0.0","0.1","27.7"
"Emmett Johnson","KC","46.0","191.9","1.5","5.7","41.2","0.2","0.1","35.9"
"","high","61.9","257.9","2.0","8.4","59.3","0.4","0.0","48.3"
"","low","30.0","126.0","1.0","3.0","23.0","0.0","0.3","14.8"
"Adam Randall","BAL","31.0","169.5","1.0","6.5","70.5","0.5","0.5","35.3"
"","high","62.0","339.0","2.0","13.0","141.0","1.0","0.0","50.3"
"","low","0.0","0.0","0.0","0.0","0.0","0.0","1.0","3.3"
"Roschon Johnson","CHI","34.0","116.0","3.0","3.0","18.0","0.0","0.0","32.9"
"","high","34.0","116.0","3.0","3.0","18.0","0.0","0.0","24.5"
"","low","34.0","116.0","3.0","3.0","18.0","0.0","0.0","24.5"
"Ray Davis","BUF","32.3","138.3","1.1","7.8","60.0","0.4","0.2","32.1"
"","high","32.3","138.3","1.1","7.8","60.0","0.4","0.2","34.3"
"","low","32.3","138.3","1.1","7.8","60.0","0.4","0.2","34.3"
"Ollie Gordon II","MIA","47.3","195.1","1.2","3.9","27.9","0.1","0.2","31.8"
"","high","47.3","195.1","1.2","3.9","27.9","0.1","0.2","31.9"
"","low","47.3","195.1","1.2","3.9","27.9","0.1","0.2","31.9"
"Sean Tucker","TB","39.3","163.6","2.2","1.5","10.2","0.0","0.1","31.4"
"","high","43.6","182.2","2.4","2.0","14.4","0.1","0.0","35.7"
"","low","35.0","145.0","2.0","1.0","6.0","0.0","0.3","18.7"
"Seth McGowan","IND","32.7","139.6","1.5","5.3","42.2","0.2","0.1","30.8"
"","high","33.4","141.0","2.0","8.6","59.5","0.3","0.0","30.5"
"","low","32.0","138.2","1.1","2.0","25.0","0.0","0.2","21.6"
"Corey Kiner","NE","34.0","150.0","1.0","2.0","20.0","0.0","0.0","24.0"
"","high","34.0","150.0","1.0","2.0","20.0","0.0","0.0","14.0"
"","low","34.0","150.0","1.0","2.0","20.0","0.0","0.0","14.0"
"Jeremy McNichols","WAS","17.0","88.0","1.0","7.0","53.0","0.0","0.0","23.6"
"","high","17.0","88.0","1.0","7.0","53.0","0.0","0.0","15.5"
"","low","17.0","88.0","1.0","7.0","53.0","0.0","0.0","15.5"
"Kendre Miller","NO","29.4","119.9","1.3","2.5","16.3","0.0","0.0","22.6"
"","high","35.0","140.0","2.0","3.0","21.6","0.1","0.0","19.3"
"","low","23.8","99.8","0.5","2.0","11.0","0.0","0.1","16.9"
"Audric Estime","NO","30.0","122.0","1.0","3.0","24.0","0.0","0.0","22.1"
"","high","30.0","122.0","1.0","3.0","24.0","0.0","0.0","13.5"
"","low","30.0","122.0","1.0","3.0","24.0","0.0","0.0","13.5"
"Jacob Saylors","DET","23.2","100.7","1.0","4.2","30.1","0.2","0.1","22.0"
"","high","23.2","100.7","1.0","4.2","30.1","0.2","0.1","23.9"
"","low","23.2","100.7","1.0","4.2","30.1","0.2","0.1","23.9"
"Will Shipley","PHI","9.2","39.5","0.3","11.3","83.4","0.4","0.1","21.9"
"","high","9.2","39.5","0.3","11.3","83.4","0.4","0.1","22.4"
"","low","9.2","39.5","0.3","11.3","83.4","0.4","0.1","22.4"
"Hunter Luepke","DAL","13.4","56.4","0.4","8.6","61.5","0.4","0.1","20.7"
"","high","13.4","56.4","0.4","8.6","61.5","0.4","0.1","20.7"
"","low","13.4","56.4","0.4","8.6","61.5","0.4","0.1","20.7"
"Kaytron Allen","WAS","23.6","110.8","0.7","3.0","25.7","0.1","0.0","20.0"
"","high","35.0","171.0","1.0","4.1","29.3","0.2","0.0","18.5"
"","low","12.3","50.7","0.4","2.0","22.0","0.0","0.1","13.2"
"Demond Claiborne","MIN","21.6","96.2","0.7","3.3","25.2","0.1","0.0","18.5"
"","high","29.0","133.0","1.0","4.5","29.5","0.2","0.0","14.0"
